flight_id,airline_code,flight_type,aircraft_type,arrival_airport,departure_airport,gate_type,scheduled_arrival_time,scheduled_departure_time,planned_turnaround_minutes,actual_on_block_time,unloading_start_delay_minutes,unloading_duration_minutes,loading_duration_minutes,fueling_duration_minutes,cleaning_duration_minutes,catering_duration_minutes,security_check_duration_minutes,cargo_weight_kg,cargo_volume_cbm,number_of_uld_containers,special_cargo_flag,hazardous_goods_flag,assigned_ground_crew_count,available_ground_crew_count,average_crew_experience_years,crew_utilization_percent,airport_congestion_index,gate_occupancy_percent,equipment_availability_percent,simultaneous_flights_at_terminal,weather_condition,visibility_km,wind_speed_kmh,weather_severity_score,maintenance_required_flag,maintenance_delay_minutes,aircraft_avg_turnaround_minutes,gate_avg_turnaround_minutes,airline_avg_turnaround_minutes,actual_turnaround_minutes,actual_off_block_time,turnaround_delay_minutes
FL000011,AI,International,A321,SIN,DEL,Contact,2024-09-28 17:15,2024-09-28 18:27,72,2024-09-28 17:15,3,24,20,31,21,21,10,6833,6.4,1,0,1,7,7,9.9,80.5,8,65.1,94.3,14,Rain,4.4,36.6,2.0,0,0,45.9,75.2,39.1,137,2024-09-28 19:32,65
FL000012,United,International,A320,BOM,DXB,Remote,2024-11-26 13:15,2024-11-26 14:21,66,2024-11-26 13:09,9,19,21,28,16,17,13,8523,8.8,1,0,0,8,5,8.8,100.0,5,34.6,90.8,14,Clear,23.3,18.8,0.0,0,0,39.0,68.6,79.9,135,2024-11-26 15:24,69
FL000013,British,International,A320,CCU,DEL,Remote,2024-04-03 08:45,2024-04-03 09:45,60,2024-04-03 09:19,4,17,18,23,22,22,14,8624,8.0,1,0,0,5,5,7.1,87.4,4,41.8,91.2,11,Cloudy,9.0,19.9,1.9,0,0,47.6,90.8,57.7,101,2024-04-03 11:00,41
FL000014,IndiGo,Domestic,A321,BOM,BLR,Contact,2024-05-08 19:45,2024-05-08 20:42,57,2024-05-08 19:54,2,17,30,18,16,6,8,6926,7.0,1,0,0,11,11,6.4,79.2,2,30.0,99.0,2,Fog,1.9,15.0,5.7,0,0,42.2,59.8,62.1,96,2024-05-08 21:30,39
FL000015,IndiGo,Domestic,A321,DEL,BOM,Contact,2024-02-12 19:45,2024-02-12 20:33,48,2024-02-12 19:35,3,16,28,17,18,12,8,7652,6.7,1,0,0,7,7,8.6,88.5,8,65.4,86.1,19,Clear,21.2,20.7,0.0,0,0,41.9,67.0,62.7,88,2024-02-12 21:03,40
FL000016,IndiGo,Domestic,A350,BLR,DEL,Remote,2024-03-08 17:30,2024-03-08 18:51,81,2024-03-08 17:46,5,32,42,31,31,17,8,15750,17.1,2,0,0,12,10,1.9,100.0,8,65.5,98.3,18,Clear,26.6,17.6,0.0,0,0,80.8,68.9,75.5,153,2024-03-08 20:19,72
FL000017,IndiGo,Domestic,B777,DEL,BOM,Remote,2024-08-13 15:45,2024-08-13 17:13,88,2024-08-13 15:35,5,33,43,44,31,17,5,14210,15.5,2,0,0,17,17,0.6,88.5,5,36.8,98.9,13,Cloudy,8.7,1.0,1.2,0,0,86.2,73.1,69.2,158,2024-08-13 18:13,70
FL000018,Vistara,Domestic,A330,BLR,BOM,Contact,2024-05-17 16:45,2024-05-17 18:07,82,2024-05-17 16:51,0,25,36,39,22,19,8,14330,13.5,2,0,0,10,10,6.2,88.2,5,41.8,98.3,9,Storm,2.0,72.2,6.9,1,11,79.6,68.6,69.5,135,2024-05-17 19:06,53
FL000019,SpiceJet,Domestic,B737,BLR,DEL,Contact,2024-01-02 09:00,2024-01-02 09:52,52,2024-01-02 08:50,2,16,17,20,18,5,9,8429,9.5,1,0,0,8,8,7.1,77.6,3,30.0,96.5,9,Clear,21.4,8.0,0.1,0,0,45.7,73.9,54.2,86,2024-01-02 10:16,34
FL000020,IndiGo,Domestic,A320,HYD,DEL,Contact,2024-04-28 06:15,2024-04-28 07:06,51,2024-04-28 06:10,0,18,24,23,15,16,6,6660,7.2,1,0,0,7,6,3.4,95.3,3,30.0,97.1,10,Rain,3.7,43.0,4.8,0,0,46.1,65.0,66.4,88,2024-04-28 07:38,37
FL000021,Emirates,Domestic,A321,BLR,MAA,Contact,2024-04-16 10:00,2024-04-16 10:55,55,2024-04-16 10:10,3,22,17,21,12,13,8,7072,6.5,1,0,0,10,8,4.0,100.0,5,37.3,88.7,12,Clear,25.8,8.7,0.0,0,0,52.7,50.3,49.7,84,2024-04-16 11:34,29
FL000022,AI,Domestic,A321,MAA,CCU,Remote,2024-01-09 12:15,2024-01-09 13:05,50,2024-01-09 12:26,0,22,20,20,18,13,8,10605,8.6,1,0,0,12,12,7.2,79.9,7,52.2,89.8,14,Cloudy,23.3,23.2,0.0,0,0,52.2,72.9,85.5,87,2024-01-09 13:53,37
FL000023,IndiGo,International,A321,DOH,LHR,Remote,2024-09-28 16:45,2024-09-28 17:57,72,2024-09-28 16:35,3,16,24,24,19,25,13,9482,11.1,1,1,0,9,9,7.1,87.8,7,58.4,98.5,16,Rain,4.6,44.1,4.4,0,0,50.4,94.3,52.1,132,2024-09-28 18:47,60
FL000024,SpiceJet,Domestic,B777,DEL,BLR,Contact,2024-04-03 18:45,2024-04-03 20:12,87,2024-04-03 18:54,0,41,30,44,34,23,8,10756,12.0,2,1,1,19,17,5.8,100.0,3,30.0,94.6,7,Clear,20.1,15.4,2.4,1,8,87.2,59.9,64.0,175,2024-04-03 21:49,88
FL000025,SpiceJet,International,B737,DXB,CCU,Remote,2024-12-07 14:30,2024-12-07 15:29,59,2024-12-07 14:20,6,20,25,26,13,19,7,8658,7.1,1,0,0,6,6,8.4,75.8,3,30.0,93.3,4,Clear,20.5,12.1,0.0,0,0,38.2,61.5,60.1,116,2024-12-07 16:16,57
FL000026,Singapore,Domestic,A321,BLR,BOM,Remote,2024-01-20 22:00,2024-01-20 22:50,50,2024-01-20 22:24,4,19,26,28,17,12,9,10594,9.2,1,0,0,10,10,5.4,75.6,7,50.0,89.1,13,Rain,8.0,47.0,4.0,0,0,57.0,80.9,74.0,113,2024-01-21 00:17,63
FL000027,IndiGo,International,A320,FRA,DOH,Contact,2024-06-17 16:15,2024-06-17 17:12,57,2024-06-17 16:23,7,21,21,23,16,22,17,7181,7.4,1,1,0,6,6,7.5,86.6,6,53.4,96.4,14,Cloudy,25.8,17.1,0.8,0,0,42.7,76.2,55.7,122,2024-06-17 18:25,65
FL000028,Vistara,International,A320,DEL,MAA,Contact,2024-07-06 08:15,2024-07-06 09:18,63,2024-07-06 08:22,1,17,21,20,18,18,10,9095,8.6,1,0,0,8,8,2.3,88.6,6,39.8,94.7,11,Cloudy,15.7,2.9,2.0,0,0,42.1,69.4,69.8,85,2024-07-06 09:47,22
FL000029,Emirates,International,A320,SIN,CCU,Contact,2024-05-14 19:30,2024-05-14 20:37,67,2024-05-14 19:26,0,24,15,11,13,22,11,11948,10.1,1,0,0,5,5,3.8,82.1,7,52.4,96.5,15,Storm,2.0,62.7,5.3,0,0,50.0,85.2,79.7,120,2024-05-14 21:26,53
FL000030,AI,International,A320,FRA,BLR,Contact,2024-03-22 14:00,2024-03-22 14:58,58,2024-03-22 13:57,8,23,23,22,14,16,16,8489,9.3,1,0,0,7,7,4.7,78.5,4,30.0,97.4,12,Rain,7.8,47.6,3.5,0,0,41.6,78.1,72.4,128,2024-03-22 16:05,70
FL000031,Emirates,Domestic,B787,HYD,BLR,Contact,2024-05-14 12:30,2024-05-14 13:47,77,2024-05-14 12:50,0,29,32,40,29,21,9,13206,15.8,2,0,0,14,14,4.7,76.4,4,30.4,91.8,10,Storm,0.2,63.7,7.6,0,0,77.8,70.2,60.2,136,2024-05-14 15:06,59
FL000032,IndiGo,International,A320,MAA,SIN,Contact,2024-11-21 08:00,2024-11-21 08:57,57,2024-11-21 08:13,1,21,14,24,19,20,15,7014,8.0,1,0,0,9,9,4.1,90.6,4,34.7,91.5,8,Cloudy,26.6,25.4,0.8,0,0,38.3,68.7,54.4,91,2024-11-21 09:44,34
FL000033,AI,International,B777,FRA,BLR,Remote,2024-12-27 21:30,2024-12-27 23:24,114,2024-12-27 21:51,2,32,43,50,28,30,7,13965,14.7,2,0,0,17,15,6.1,89.6,2,30.0,79.1,6,Cloudy,9.2,0.6,0.7,0,0,81.7,39.0,70.5,171,2024-12-28 00:42,57
FL000034,United,International,A321,HYD,HYD,Remote,2024-02-16 18:15,2024-02-16 19:29,74,2024-02-16 18:13,0,20,22,18,24,24,15,9757,9.7,1,0,0,6,5,1.5,100.0,3,31.4,99.5,8,Cloudy,27.4,11.3,0.9,0,0,50.3,74.1,71.2,126,2024-02-16 20:19,52
FL000035,United,International,A320,LHR,DXB,Contact,2024-02-13 08:30,2024-02-13 09:24,54,2024-02-13 08:34,9,21,29,24,20,9,5,5524,5.5,1,0,0,8,8,5.4,85.6,3,30.0,96.7,6,Clear,22.5,28.7,0.0,0,0,36.9,55.2,74.8,114,2024-02-13 10:28,60
FL000036,British,Domestic,B787,DEL,MAA,Contact,2024-11-06 05:15,2024-11-06 06:44,89,2024-11-06 05:27,0,32,40,28,28,19,12,15925,15.6,2,0,0,17,15,5.7,100.0,4,38.2,96.4,6,Clear,22.7,29.1,0.0,0,0,78.5,68.1,68.3,133,2024-11-06 07:40,44
FL000037,IndiGo,International,B737,FRA,SIN,Contact,2024-08-03 15:45,2024-08-03 16:48,63,2024-08-03 15:49,1,18,16,19,17,29,13,11447,13.0,2,0,0,12,12,5.9,81.9,10,82.9,95.1,18,Clear,14.5,7.6,0.0,0,0,43.7,68.4,65.0,101,2024-08-03 17:30,38
FL000038,AI,Domestic,A320,DEL,MAA,Remote,2024-08-31 22:30,2024-08-31 23:22,52,2024-08-31 22:44,9,23,20,31,19,7,8,3977,4.3,1,0,0,7,7,5.9,79.1,10,81.0,84.6,18,Rain,7.1,39.7,1.9,0,0,43.0,59.4,51.0,116,2024-09-01 00:40,64
FL000039,Qatar,International,A350,BOM,DEL,Remote,2024-03-28 11:00,2024-03-28 12:58,118,2024-03-28 10:59,14,39,40,39,22,34,21,12276,14.2,2,0,1,14,14,5.6,85.2,2,30.0,89.7,3,Fog,2.9,24.6,4.8,0,0,85.5,49.2,69.1,212,2024-03-28 14:31,94
FL000040,SpiceJet,Domestic,A320,BOM,HYD,Remote,2024-01-18 19:00,2024-01-18 19:41,41,2024-01-18 18:50,3,21,18,24,8,5,8,6457,6.0,1,0,0,8,8,4.0,87.6,3,30.0,98.4,8,Cloudy,18.2,29.8,2.4,0,0,56.3,55.3,60.8,91,2024-01-18 20:21,50
FL000041,AI,International,A320,DXB,FRA,Remote,2024-03-05 20:45,2024-03-05 21:39,54,2024-03-05 20:58,4,13,17,19,20,14,16,5486,6.1,1,0,1,10,10,7.4,88.7,1,30.0,96.0,1,Rain,7.8,45.0,1.1,0,0,50.6,67.9,41.3,142,2024-03-05 23:20,88
FL000042,Vistara,Domestic,B787,CCU,HYD,Contact,2024-05-02 18:45,2024-05-02 20:09,84,2024-05-02 18:35,2,28,28,39,22,16,8,16541,13.4,2,0,0,13,13,7.0,81.8,8,66.6,93.3,20,Clear,29.4,24.2,1.0,0,0,81.1,43.7,55.6,126,2024-05-02 20:41,42
FL000043,AI,Domestic,B777,CCU,BLR,Contact,2024-08-05 17:00,2024-08-05 18:28,88,2024-08-05 17:38,1,34,47,42,36,16,6,14760,17.4,2,1,0,13,10,6.8,100.0,2,30.0,98.0,2,Clear,23.9,5.8,0.7,0,0,92.4,61.0,77.3,165,2024-08-05 20:23,77
FL000044,Lufthansa,International,A321,ORD,FRA,Contact,2024-04-22 14:30,2024-04-22 15:31,61,2024-04-22 14:33,1,21,24,16,11,16,6,5420,5.1,1,0,0,11,10,3.6,91.7,4,33.9,90.8,9,Clear,12.2,10.1,0.0,1,65,50.5,103.8,77.2,167,2024-04-22 17:20,106
FL000045,IndiGo,International,A320,DOH,DEL,Contact,2024-06-09 16:00,2024-06-09 17:06,66,2024-06-09 16:01,0,20,11,25,15,12,13,8214,7.5,1,1,0,10,10,10.0,88.6,4,32.2,73.9,7,Clear,25.6,6.6,0.5,0,0,39.6,76.2,52.7,101,2024-06-09 17:42,35
FL000046,Qatar,International,A350,BLR,DEL,Contact,2024-12-23 17:45,2024-12-23 19:33,108,2024-12-23 17:56,0,28,48,34,33,28,12,15019,14.8,2,0,0,12,12,0.9,87.5,4,30.0,93.6,7,Clear,20.5,1.6,0.0,0,0,87.8,70.6,67.0,157,2024-12-23 20:33,49
FL000047,IndiGo,Domestic,A321,BLR,DEL,Contact,2024-11-10 11:30,2024-11-10 12:28,58,2024-11-10 11:44,2,15,26,24,14,14,9,9376,7.7,1,0,0,10,10,3.4,87.6,6,46.5,97.2,14,Clear,26.4,8.0,0.0,0,0,51.6,49.2,64.8,91,2024-11-10 13:15,33
FL000048,Vistara,Domestic,A320,MAA,BOM,Contact,2024-08-10 21:45,2024-08-10 22:39,54,2024-08-10 21:45,8,16,27,30,14,13,9,6918,7.6,1,0,0,9,9,4.6,81.5,5,37.8,94.6,10,Rain,3.2,34.9,3.5,0,0,51.5,78.5,75.7,104,2024-08-10 23:29,50
FL000049,Vistara,International,B737,CCU,BLR,Remote,2024-08-30 22:45,2024-08-30 23:46,61,2024-08-30 22:55,6,17,33,21,21,8,15,8787,9.7,1,0,0,7,7,10.6,85.5,5,38.3,92.3,14,Clear,12.6,17.8,0.0,0,0,39.5,78.0,70.9,124,2024-08-31 00:59,63
FL000050,IndiGo,International,A350,FRA,HYD,Contact,2024-11-04 15:45,2024-11-04 17:43,118,2024-11-04 15:45,1,35,39,41,22,31,7,11896,9.9,1,0,0,15,15,7.7,87.2,3,30.0,87.4,9,Clear,10.5,8.0,0.0,0,0,92.9,63.9,54.1,146,2024-11-04 18:11,28
FL000051,United,International,A320,BOM,FRA,Contact,2024-05-21 10:15,2024-05-21 11:10,55,2024-05-21 10:41,9,20,21,12,13,27,7,4594,5.2,1,1,0,6,6,5.2,78.9,2,30.0,83.6,2,Clear,24.4,17.8,0.3,0,0,52.7,50.8,64.8,122,2024-05-21 12:43,67
FL000052,Singapore,Domestic,B787,HYD,DEL,Contact,2024-11-08 15:15,2024-11-08 16:44,89,2024-11-08 15:35,0,36,23,47,29,17,6,15255,17.9,2,0,0,14,14,9.7,92.7,6,45.1,79.0,11,Cloudy,10.2,15.9,1.7,0,0,75.0,50.8,95.3,125,2024-11-08 17:40,36
FL000053,United,International,B737,DXB,ORD,Contact,2024-02-03 06:00,2024-02-03 07:04,64,2024-02-03 06:00,2,15,20,23,9,23,14,6492,7.2,1,0,0,5,5,1.6,86.4,5,36.8,92.9,13,Rain,3.5,30.1,4.7,0,0,48.6,76.6,71.5,106,2024-02-03 07:46,42
FL000054,Lufthansa,Domestic,A321,CCU,DEL,Contact,2024-12-29 17:15,2024-12-29 18:04,49,2024-12-29 17:16,3,18,19,37,9,10,6,10314,10.9,1,0,0,9,9,4.5,83.3,6,48.6,90.5,13,Clear,25.8,4.1,0.0,1,15,45.7,67.8,70.9,113,2024-12-29 19:09,64
FL000055,Emirates,Domestic,B777,MAA,CCU,Contact,2024-04-25 07:15,2024-04-25 08:41,86,2024-04-25 07:15,8,33,36,34,32,23,10,15884,17.9,2,0,0,15,13,6.7,100.0,4,30.6,99.9,9,Rain,3.2,30.1,2.8,0,0,87.2,76.1,73.8,142,2024-04-25 09:37,56
FL000056,Lufthansa,Domestic,A330,BOM,CCU,Remote,2024-03-23 05:30,2024-03-23 06:58,88,2024-03-23 05:37,0,33,29,38,30,21,5,16012,18.9,3,0,0,13,12,6.3,96.0,9,69.3,99.1,19,Cloudy,27.2,6.5,3.2,0,0,79.5,63.3,64.3,144,2024-03-23 08:01,56
FL000057,AI,Domestic,A320,CCU,MAA,Contact,2024-11-10 15:45,2024-11-10 16:37,52,2024-11-10 16:00,1,15,22,22,13,11,10,8489,10.1,1,0,0,10,10,2.2,80.0,5,48.3,95.0,9,Fog,2.6,26.4,3.2,0,0,54.5,48.2,63.5,82,2024-11-10 17:22,30
FL000058,IndiGo,International,A320,MAA,CCU,Contact,2024-05-29 14:00,2024-05-29 14:59,59,2024-05-29 14:18,0,16,16,25,12,19,19,8186,7.6,1,0,1,9,9,4.4,86.8,9,72.2,94.7,16,Clear,12.4,20.3,0.0,0,0,46.9,59.6,74.4,109,2024-05-29 16:07,50
FL000059,AI,Domestic,A350,DEL,CCU,Remote,2024-06-18 10:30,2024-06-18 11:59,89,2024-06-18 10:39,1,40,42,38,29,17,8,17341,14.0,2,0,1,12,11,10.3,92.7,2,30.0,91.3,5,Clear,23.1,11.2,0.4,0,0,97.0,60.4,47.5,162,2024-06-18 13:21,73
FL000060,IndiGo,Domestic,B777,BOM,BLR,Contact,2024-11-06 19:00,2024-11-06 20:38,98,2024-11-06 19:11,5,38,33,36,32,13,12,17986,17.2,2,0,0,14,12,4.1,95.1,7,55.9,84.4,15,Clear,24.8,28.1,1.4,1,33,90.9,69.6,88.6,186,2024-11-06 22:17,88
FL000061,SpiceJet,Domestic,A321,BLR,HYD,Contact,2024-11-08 20:00,2024-11-08 20:49,49,2024-11-08 20:06,1,22,12,25,18,10,8,9606,11.4,1,0,0,9,9,8.2,89.1,7,58.2,87.7,18,Clear,16.8,24.2,1.3,0,0,59.3,86.2,84.7,82,2024-11-08 21:28,33
FL000062,IndiGo,Domestic,B737,CCU,BOM,Contact,2024-02-29 19:15,2024-02-29 20:01,46,2024-02-29 19:37,13,17,28,20,19,8,6,7385,6.6,1,0,0,11,11,5.8,84.9,7,56.0,95.6,13,Cloudy,22.4,17.8,3.0,1,90,41.4,78.8,74.6,166,2024-02-29 22:23,120
FL000063,British,International,B777,ORD,HYD,Contact,2024-09-16 08:45,2024-09-16 10:51,126,2024-09-16 08:48,1,40,46,52,32,29,12,17668,20.0,3,0,0,15,15,8.7,82.2,4,30.0,90.6,9,Storm,1.9,52.8,7.5,0,0,93.6,75.6,75.7,188,2024-09-16 11:56,62
FL000064,SpiceJet,Domestic,B787,HYD,BLR,Contact,2024-01-12 15:15,2024-01-12 16:32,77,2024-01-12 15:52,3,33,30,42,29,16,8,17012,17.6,2,0,0,14,14,5.6,84.2,6,50.7,98.4,10,Rain,5.2,35.3,2.3,0,0,84.3,79.1,93.2,137,2024-01-12 18:09,60
FL000065,IndiGo,Domestic,A350,MAA,DEL,Contact,2024-07-20 09:00,2024-07-20 10:25,85,2024-07-20 09:28,1,36,34,42,27,18,9,12759,13.9,2,0,0,17,17,0.5,88.0,6,51.5,87.2,16,Cloudy,17.7,21.7,1.9,0,0,88.8,76.0,82.9,136,2024-07-20 11:44,51
FL000066,Vistara,International,A321,SIN,BLR,Contact,2024-02-19 13:30,2024-02-19 14:32,62,2024-02-19 13:33,0,25,22,24,22,23,18,6832,7.3,1,0,0,7,7,7.4,87.1,4,30.0,99.2,8,Rain,3.9,25.5,4.3,0,0,53.5,74.1,88.0,111,2024-02-19 15:24,49
FL000067,AI,International,A321,BOM,DOH,Remote,2024-12-11 20:15,2024-12-11 21:15,60,2024-12-11 20:21,0,18,26,29,23,22,13,9181,9.8,1,0,0,9,9,3.6,79.0,7,56.9,96.4,17,Cloudy,26.2,28.0,1.9,0,0,47.3,73.9,62.9,123,2024-12-11 22:24,63
FL000068,British,International,B737,LHR,BLR,Remote,2024-11-27 10:15,2024-11-27 11:15,60,2024-11-27 10:05,0,13,24,28,18,16,12,9189,8.3,1,0,0,8,7,4.2,99.5,5,37.4,99.7,8,Clear,21.2,11.3,0.0,0,0,49.0,50.4,72.3,128,2024-11-27 12:13,68
FL000069,AI,Domestic,A321,MAA,BLR,Contact,2024-06-04 18:45,2024-06-04 19:42,57,2024-06-04 18:35,3,22,20,20,12,16,7,8627,9.3,1,1,0,9,6,2.7,100.0,2,30.0,91.9,5,Cloudy,12.1,13.8,1.9,0,0,47.2,72.1,57.2,105,2024-06-04 20:20,48
FL000070,United,International,B737,LHR,BLR,Contact,2024-07-23 09:45,2024-07-23 10:46,61,2024-07-23 09:46,0,16,19,23,11,23,14,6273,6.8,1,1,0,8,8,2.1,92.5,6,60.5,94.3,13,Clear,20.7,27.4,0.0,0,0,46.0,78.7,41.3,112,2024-07-23 11:38,51
FL000071,Singapore,International,A321,FRA,ORD,Contact,2024-07-04 18:15,2024-07-04 19:19,64,2024-07-04 18:16,3,21,23,18,24,24,10,8401,7.7,1,1,0,7,7,3.2,86.2,4,41.3,97.8,6,Cloudy,28.3,17.5,3.5,0,0,32.8,64.5,88.4,115,2024-07-04 20:11,51
FL000072,IndiGo,International,A320,BLR,DOH,Contact,2024-06-21 07:30,2024-06-21 08:33,63,2024-06-21 07:45,1,19,13,26,14,12,14,10026,11.3,1,0,0,6,6,5.8,88.4,2,30.0,98.8,4,Clear,22.5,12.5,0.0,0,0,31.4,75.9,82.0,101,2024-06-21 09:26,38
FL000073,AI,International,B737,MAA,BOM,Contact,2024-07-10 16:15,2024-07-10 17:08,53,2024-07-10 16:34,3,23,18,22,16,19,8,10320,9.3,1,0,0,4,4,6.2,88.1,6,44.3,98.4,14,Cloudy,16.8,2.5,1.8,1,29,47.8,57.8,54.4,134,2024-07-10 18:48,81
FL000074,British,Domestic,B777,BOM,MAA,Remote,2024-04-03 18:30,2024-04-03 19:56,86,2024-04-03 18:20,0,33,40,43,39,23,5,17243,18.8,3,0,0,12,10,8.6,100.0,4,33.9,90.5,9,Rain,3.1,24.8,3.8,0,0,89.7,104.2,73.7,149,2024-04-03 20:49,63
FL000075,Qatar,International,B787,LHR,HYD,Contact,2024-09-05 16:15,2024-09-05 18:01,106,2024-09-05 16:06,0,34,36,39,29,27,14,17084,16.9,2,0,0,15,15,7.4,86.7,9,78.0,99.3,19,Cloudy,21.7,2.8,1.0,0,0,80.5,54.0,83.6,170,2024-09-05 18:56,64
FL000076,Singapore,Domestic,B737,CCU,MAA,Remote,2024-05-04 12:00,2024-05-04 12:53,53,2024-05-04 11:50,6,19,30,11,15,13,9,9418,7.6,1,0,0,6,6,6.3,89.6,6,50.8,97.9,10,Cloudy,16.2,1.8,0.0,1,5,44.8,38.8,81.0,117,2024-05-04 13:47,64
FL000077,Singapore,Domestic,A320,BLR,MAA,Contact,2024-06-29 18:15,2024-06-29 19:08,53,2024-06-29 18:05,20,22,19,14,14,7,9,6802,7.7,1,0,0,4,4,8.6,86.2,9,75.7,97.6,16,Rain,3.8,28.1,1.4,0,0,35.0,79.5,72.3,96,2024-06-29 19:41,43
FL000078,AI,Domestic,A321,BOM,CCU,Remote,2024-10-04 09:30,2024-10-04 10:21,51,2024-10-04 09:37,5,14,14,24,12,8,7,10551,8.5,1,0,0,8,8,4.3,87.6,2,30.0,95.6,8,Rain,5.1,25.6,2.7,0,0,64.9,45.6,98.2,87,2024-10-04 11:04,36
FL000079,SpiceJet,Domestic,B787,HYD,DEL,Contact,2024-07-10 10:15,2024-07-10 11:40,85,2024-07-10 10:37,0,36,36,47,26,17,5,12557,13.9,2,0,0,15,15,6.3,87.8,6,51.3,85.0,14,Clear,16.5,7.9,0.0,0,0,77.3,69.2,76.9,130,2024-07-10 12:47,45
FL000080,AI,International,A321,DEL,HYD,Contact,2024-09-03 11:15,2024-09-03 12:18,63,2024-09-03 11:42,0,26,19,29,13,23,11,6530,6.9,1,0,0,9,9,8.8,87.4,5,45.3,98.4,9,Clear,12.9,7.1,0.0,1,10,58.1,53.2,63.7,111,2024-09-03 13:33,48
FL000081,Lufthansa,International,B777,FRA,SIN,Contact,2024-08-06 09:15,2024-08-06 11:17,122,2024-08-06 09:40,0,35,40,43,30,34,11,15995,14.3,2,0,0,14,14,5.4,83.9,10,82.4,98.9,21,Clear,20.2,12.4,0.5,0,0,95.8,70.3,56.9,183,2024-08-06 12:43,61
